Alert ID,Ticker,Name,Description,Time
3698684433,"OANDA:AUDUSD, 15m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""15"",""price"":{{close}},""current_trends"":""-1,-1,1,1,1,1"",""previous_trends"":""-1,-1,1,1,1,1"",""changed_timeframes"":""5,"",""change_details"":""5:-1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":-1,""consensus_score"":3,""message"":""Trend change detected on: 5,""}",2026-01-06T07:30:01Z
3698684433,"OANDA:XAUUSD, 15m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""15"",""price"":{{close}},""current_trends"":""-1,-1,-1,1,1,-1"",""previous_trends"":""-1,-1,-1,1,1,-1"",""changed_timeframes"":""1,"",""change_details"":""1:-1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":1,""consensus_score"":2,""message"":""Trend change detected on: 1,""}",2026-01-06T07:30:01Z
3698710901,"OANDA:AUDUSD, 5m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""5"",""price"":{{close}},""current_trends"":""-1,-1,1,1,1,1"",""previous_trends"":""-1,-1,1,1,1,1"",""changed_timeframes"":""5,"",""change_details"":""5:-1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":-1,""consensus_score"":2,""message"":""Trend change detected on: 5,""}",2026-01-06T07:25:03Z
3698710901,"OANDA:XAUUSD, 5m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""5"",""price"":{{close}},""current_trends"":""-1,-1,-1,1,1,-1"",""previous_trends"":""-1,-1,-1,1,1,-1"",""changed_timeframes"":""1,"",""change_details"":""1:-1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":-1,""consensus_score"":3,""message"":""Trend change detected on: 1,""}",2026-01-06T07:25:00Z
3698684433,"OANDA:USDCAD, 15m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""15"",""price"":{{close}},""current_trends"":""1,-1,-1,-1,1,-1"",""previous_trends"":""1,-1,-1,-1,1,-1"",""changed_timeframes"":""1,"",""change_details"":""1:1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":-1,""consensus_score"":4,""message"":""Trend change detected on: 1,""}",2026-01-06T07:15:05Z
3698710901,"OANDA:USDCAD, 5m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""5"",""price"":{{close}},""current_trends"":""1,-1,-1,-1,1,-1"",""previous_trends"":""1,-1,-1,-1,1,-1"",""changed_timeframes"":""1,"",""change_details"":""1:1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":1,""consensus_score"":5,""message"":""Trend change detected on: 1,""}",2026-01-06T07:15:04Z
3698710901,"OANDA:NZDUSD, 5m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""5"",""price"":{{close}},""current_trends"":""-1,1,1,1,1,1"",""previous_trends"":""-1,1,1,1,1,1"",""changed_timeframes"":""1,"",""change_details"":""1:-1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":1,""consensus_score"":4,""message"":""Trend change detected on: 1,""}",2026-01-06T07:15:02Z
3698684433,"OANDA:NZDUSD, 15m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""15"",""price"":{{close}},""current_trends"":""-1,1,1,1,1,1"",""previous_trends"":""-1,1,1,1,1,1"",""changed_timeframes"":""5,"",""change_details"":""5:1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":1,""consensus_score"":5,""message"":""Trend change detected on: 5,""}",2026-01-06T07:15:02Z
3698710901,"OANDA:AUDJPY, 5m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""5"",""price"":{{close}},""current_trends"":""-1,-1,1,1,-1,1"",""previous_trends"":""-1,-1,1,1,-1,1"",""changed_timeframes"":""5,"",""change_details"":""5:-1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":-1,""consensus_score"":1,""message"":""Trend change detected on: 5,""}",2026-01-06T07:15:02Z
3698684433,"OANDA:AUDJPY, 15m","ZEPIX v3.0 (100, 5, Adjusted Points, 5, Close, 5, Short-Term, 50, 1, 15, 10, Wicks,   25, 5, 200, 2, 10,000, 1, 1.5, 3, 1.5, 2, 1.5, 6, Normal, 1, 5, 15, 60, 240, 1D): Any alert() function call","{""type"":""trend_pulse_v3"",""signal_type"":""Trend_Pulse"",""symbol"":""{{ticker}}"",""tf"":""15"",""price"":{{close}},""current_trends"":""-1,-1,1,1,-1,1"",""previous_trends"":""-1,-1,1,1,-1,1"",""changed_timeframes"":""5,"",""change_details"":""5:-1;"",""trend_labels"":""1m,5m,15m,1H,4H,1D"",""market_trend"":-1,""consensus_score"":4,""message"":""Trend change detected on: 5,""}",2026-01-06T07:15:02Z
